Multi Timer Lista de vueltas
Facu N. 5km
Número ; Duration ; Vuelta
1 ; 00:01:45.260 ; 00:01:45.260
2 ; 00:03:34.140 ; 00:01:48.880
3 ; 00:05:23.010 ; 00:01:48.870
4 ; 00:07:10.232 ; 00:01:47.222
5 ; 00:08:56.592 ; 00:01:46.360
6 ; 00:10:44.090 ; 00:01:47.498
7 ; 00:12:31.902 ; 00:01:47.812
8 ; 00:14:18.708 ; 00:01:46.806
9 ; 00:16:07.798 ; 00:01:49.090
10 ; 00:17:54.083 ; 00:01:46.285
11 ; 00:19:45.598 ; 00:01:51.515
12 ; 00:21:35.128 ; 00:01:49.530
13 ; 00:23:22.149 ; 00:01:47.021
14 ; 00:25:11.121 ; 00:01:48.972
15 ; 00:27:01.844 ; 00:01:50.723
16 ; 00:28:48.730 ; 00:01:46.886
17 ; 00:30:40.121 ; 00:01:51.391
18 ; 00:32:30.632 ; 00:01:50.511
19 ; 00:34:19.892 ; 00:01:49.260
20 ; 00:36:13.757 ; 00:01:53.865
21 ; 00:38:11.771 ; 00:01:58.014
22 ; 00:40:00.871 ; 00:01:49.100
23 ; 00:41:53.970 ; 00:01:53.099
24 ; 00:43:43.365 ; 00:01:49.395
25 ; 00:45:31.206 ; 00:01:47.841
26 ; 00:47:59.157 ; 00:02:27.951
27 ; 00:49:53.012 ; 00:01:53.855
28 ; 00:51:43.134 ; 00:01:50.122
29 ; 00:53:34.747 ; 00:01:51.613
30 ; 00:55:27.707 ; 00:01:52.960
31 ; 00:57:25.605 ; 00:01:57.898
32 ; 00:59:15.420 ; 00:01:49.815
33 ; 01:01:03.495 ; 00:01:48.075
34 ; 01:03:00.202 ; 00:01:56.707
35 ; 01:04:48.075 ; 00:01:47.873
36 ; 01:06:37.208 ; 00:01:49.133
37 ; 01:08:28.674 ; 00:01:51.466
38 ; 01:10:35.697 ; 00:02:07.023
39 ; 01:12:33.966 ; 00:01:58.269
40 ; 01:14:28.901 ; 00:01:54.935
41 ; 01:16:27.914 ; 00:01:59.013
42 ; 01:18:22.791 ; 00:01:54.877
43 ; 01:22:13.941 ; 00:03:51.150
44 ; 01:24:04.034 ; 00:01:50.093
45 ; 01:25:54.265 ; 00:01:50.231
46 ; 01:25:54.521 ; 00:00:00.256
47 ; 01:27:45.680 ; 00:01:51.159
48 ; 01:29:38.264 ; 00:01:52.584
49 ; 01:31:26.427 ; 00:01:48.163
50 ; 01:33:08.613 ; 00:01:42.186
Multi Timer Lista de vueltas
Facu A. 3km
Número ; Duration ; Vuelta
1 ; 00:01:38.256 ; 00:01:38.256
2 ; 00:03:22.100 ; 00:01:43.844
3 ; 00:05:06.192 ; 00:01:44.092
4 ; 00:06:49.660 ; 00:01:43.468
5 ; 00:08:39.487 ; 00:01:49.827
6 ; 00:10:10.956 ; 00:01:31.469
7 ; 00:12:04.673 ; 00:01:53.717
8 ; 00:13:50.616 ; 00:01:45.943
9 ; 00:15:36.222 ; 00:01:45.606
10 ; 00:17:12.126 ; 00:01:35.904
11 ; 00:19:05.951 ; 00:01:53.825
12 ; 00:20:52.165 ; 00:01:46.214
13 ; 00:22:40.539 ; 00:01:48.374
14 ; 00:24:21.510 ; 00:01:40.971
15 ; 00:28:29.071 ; 00:04:07.561
16 ; 00:30:13.591 ; 00:01:44.520
17 ; 00:31:57.863 ; 00:01:44.272
18 ; 00:33:42.258 ; 00:01:44.395
19 ; 00:35:28.577 ; 00:01:46.319
20 ; 00:37:08.022 ; 00:01:39.445
21 ; 00:38:51.510 ; 00:01:43.488
22 ; 00:40:36.929 ; 00:01:45.419
23 ; 00:42:24.288 ; 00:01:47.359
24 ; 00:44:10.340 ; 00:01:46.052
25 ; 00:45:55.930 ; 00:01:45.590
